Restaurant Name,Category,Rating,Cost for Two (in Rupees),Area,Offer,URL
Spice Darbar,North Indian,NA,400,Mahadevpura,NA,https://www.swiggy.com/restaurants/spice-darbar-mahadevpura-mahadevapura-bangalore-350209
Tashann,"Chinese, Continental, Tandoor, Indian",NA,300,Mahadevpura,NA,https://www.swiggy.com/restaurants/tashann-mahadevpura-mahadevapura-bangalore-219194
Chinese MANDARIN,"Chinese, Pan-Asian, Beverages, Fast Food",NA,350,Mahadevpura,NA,https://www.swiggy.com/restaurants/chinese-mandarin-brookfield-bangalore-498803
Mubaraka Dum Biryani,"Biryani, Indian, Snacks",NA,250,Mahadevpura,NA,https://www.swiggy.com/restaurants/mubaraka-dum-biryani-mahadevpura-bangalore-556615
Cafe Coffee Day,"Beverages, Snacks, Desserts",3.7,300,Mahadevpura,NA,https://www.swiggy.com/restaurants/cafe-coffee-day-phoenix-marketcity-krishnarajapura-bangalore-32058
Sandwich Binge,"Beverages, Fast Food, Continental, Bakery, Ice Cream, Desserts, Healthy Food",3.9,200,Mahadevpura,NA,https://www.swiggy.com/restaurants/sandwich-binge-mahadevpura-bangalore-474615
Kava - Fairfield by Marriott Whitefield,"North Indian, Continental, Biryani",3.8,600,Mahadevpura,NA,https://www.swiggy.com/restaurants/kava-fairfield-by-marriott-whitefield-mahadevpura-hoodi-bangalore-282720
DRAGON MOMOS,"Chinese, Fast Food",NA,150,Mahadevpura,NA,https://www.swiggy.com/restaurants/dragon-momos-mahadevpura-bangalore-521663
Nando's,"Portuguese, African, Grill, Salads, Fast Food",NA,600,Mahadevpura,NA,https://www.swiggy.com/restaurants/nandos-phoenix-marketcity-mahadevpura-bangalore-236745
Healthy Binge,"Healthy Food, Continental",NA,150,Mahadevpura,NA,https://www.swiggy.com/restaurants/healthy-binge-mahadevpura-bangalore-474612
Juice Shop,"Juices, Ice Cream, Desserts, Beverages",3.7,150,Mahadevpura,NA,https://www.swiggy.com/restaurants/juice-shop-mahadevpura-mahadevapura-bangalore-246588
Ice Corner,"Fast Food, Ice Cream",3.3,150,Mahadevpura,NA,https://www.swiggy.com/restaurants/ice-corner-mahadevpura-mahadevapura-bangalore-246589
The Biryani Life,"Biryani, Hyderabadi, Lucknowi, North Indian, Mughlai, Desserts",3.7,250,Mahadevpura,NA,https://www.swiggy.com/restaurants/the-biryani-life-brigade-metropolis-mahadevapura-bangalore-186085
Kerala restaurant,"Kerala, South Indian, Chinese",NA,300,Mahadevpura,NA,https://www.swiggy.com/restaurants/kerala-restaurant-mahadevpura-bangalore-503242
IMPERIO COMBO KING,"Biryani, North Indian, Punjabi, Combo, Beverages, Desserts",3.5,250,Mahadevpura,NA,https://www.swiggy.com/restaurants/imperio-combo-king-mahadevpura-mahadevapura-bangalore-329186
Kolkata famous kati roll,"Snacks, Indian",NA,110,Mahadevpura,NA,https://www.swiggy.com/restaurants/kolkata-famous-kati-roll-mahadevpura-bangalore-435473
Crazy Bao,"Asian, Chinese, Thai, Pan-Asian",NA,600,Mahadevpura,NA,https://www.swiggy.com/restaurants/crazy-bao-mahadevpura-bangalore-480265
Ambur Five Star Dum Biriyani,Biryani,NA,200,Mahadevpura,NA,https://www.swiggy.com/restaurants/ambur-five-star-dum-biriyani-mahadevpura-bangalore-539201
Thalaivars Biryani,"Biryani, Indian",NA,200,Mahadevpura,NA,https://www.swiggy.com/restaurants/thalaivars-biryani-mahadevpura-bangalore-296859
Desi Kitchen,"North Indian, Fast Food, Desserts, Beverages",NA,450,Mahadevpura,NA,https://www.swiggy.com/restaurants/desi-kitchen-mahadevpura-mahadevapura-bangalore-320493
The Good Bowl,"North Indian, Punjabi, Biryani, Chinese, Beverages, Desserts, Jain, Indian, Hyde...",NA,400,Mahadevpura,NA,https://www.swiggy.com/restaurants/the-good-bowl-brigade-metropolis-mahadevapura-bangalore-156413
Apsara Ice Creams,"Ice Cream, Desserts",NA,150,Mahadevpura,NA,https://www.swiggy.com/restaurants/apsara-ice-creams-mahadevpura-hoodi-bangalore-190109
Gold Inn,"Biryani, Chinese, Tandoor, Indian",NA,399,Mahadevpura,NA,https://www.swiggy.com/restaurants/gold-inn-mahadevpura-krishnarajapura-bangalore-211494
sri sai 99 veriety dosa hotel,South Indian,NA,100,Mahadevpura,NA,https://www.swiggy.com/restaurants/sri-sai-99-veriety-dosa-hotel-kadubeesanahalli-super-market-yamaluru-bangalore-448770
Five Star,Snacks,NA,200,Mahadevpura,NA,https://www.swiggy.com/restaurants/five-star-mahadevpura-bangalore-447204
California Burrito,"Mexican, American, Salads, Continental",NA,350,Mahadevpura,NA,https://www.swiggy.com/restaurants/california-burrito-virgo-building-mahadevpura-bangalore-27494
Chinese TOWN,"Chinese, Asian, Seafood, Tibetan, Beverages, Fast Food",3.9,350,Mahadevpura,NA,https://www.swiggy.com/restaurants/chinese-town-brookfield-brookefields-bangalore-491274
Regent Club,Indian,NA,400,Mahadevpura,NA,https://www.swiggy.com/restaurants/regent-club-b-b-m-p-east-mahadevapura-bangalore-154385
Desi Chat,"Chaat, Snacks, North Indian, Combo, Street Food",3.5,150,Mahadevpura,NA,https://www.swiggy.com/restaurants/desi-chat-mahadevpura-mahadevapura-bangalore-42740
Snack House,"Fast Food, Street Food",3.7,300,Mahadevpura,NA,https://www.swiggy.com/restaurants/snack-house-mahadevpura-hoodi-bangalore-374565
The FarmBowl Co,Indian,NA,650,Mahadevpura,NA,https://www.swiggy.com/restaurants/the-farmbowl-co-mahadevpura-bangalore-483889
Trattoria By Toscano,"Italian, Pizzas, Pastas, Continental, Salads, Desserts, Beverages, Combo",3.8,600,Mahadevpura,NA,https://www.swiggy.com/restaurants/trattoria-by-toscano-garudacharpalya-mahadevpura-bangalore-340195
Andhra Biryanis,"Andhra, Biryani, Hyderabadi, Chinese, Tandoor",3.7,400,Mahadevpura,NA,https://www.swiggy.com/restaurants/andhra-biryanis-whitefield-doddanekkundi-bangalore-156567
BASMATI'S BRIYANI NATION,"Biryani, Andhra, Hyderabadi, South Indian, North Indian, Tandoor, Beverages, Des...",NA,300,Mahadevpura,NA,https://www.swiggy.com/restaurants/basmatis-briyani-nation-mahadevpura-mahadevapura-bangalore-319471
THE LUSSI PUB,"Fast Food, Beverages, Ice Cream, North Indian",NA,300,Mahadevpura,NA,https://www.swiggy.com/restaurants/the-lussi-pub-mahadevpura-bangalore-495624
Abhiruchi andhra mess,Fast Food,3.3,200,Mahadevpura,NA,https://www.swiggy.com/restaurants/abhiruchi-andhra-mess-mahadevpura-doddanekkundi-bangalore-123832
Hyderabad cuisine multicuisine restaurant,"Biryani, Chinese, Mughlai, North Indian, South Indian, Tandoor",NA,260,Mahadevpura,NA,https://www.swiggy.com/restaurants/hyderabad-cuisine-multicuisine-restaurant-mahadevpura-krishnarajapura-bangalore-123717
Lemone,"Beverages, Snacks",NA,150,Mahadevpura,NA,https://www.swiggy.com/restaurants/lemone-mahadevpura-bangalore-470441
The Sugar Free Keto Kafe - By Artinci,"Ice Cream, Healthy Food, Keto, Desserts, Snacks, Beverages, Bakery",NA,300,Mahadevpura,NA,https://www.swiggy.com/restaurants/the-sugar-free-keto-kafe-by-artinci-mahadevpura-mahadevapura-bangalore-88097
Taste Of Chettinad,"South Indian, North Indian",NA,299,Mahadevpura,NA,https://www.swiggy.com/restaurants/taste-of-chettinad-mahadevapura-bangalore-89185
Biryani Factory,"Biryani, Chinese, Tandoor",NA,400,Mahadevpura,NA,https://www.swiggy.com/restaurants/biryani-factory-mahadevpura-krishnarajapura-bangalore-210181
Infinity Family Restaurant,"Biryani, North Indian, Chinese",3.8,250,Mahadevpura,NA,https://www.swiggy.com/restaurants/infinity-family-restaurant-kamadenu-layout-mahadevapura-bangalore-39563
Sri Srinivasa food court,"Indian, Combo",NA,250,Mahadevpura,NA,https://www.swiggy.com/restaurants/sri-srinivasa-food-court-mahadevpura-bangalore-461985
The Chinese Connection,Chinese,NA,250,Mahadevpura,NA,https://www.swiggy.com/restaurants/the-chinese-connection-indirapuram-mahadevpura-bangalore-447104
HUNGRY CHANG,"Chinese, Pan-Asian, Fast Food, Combo",3.9,280,Mahadevpura,NA,https://www.swiggy.com/restaurants/hungry-chang-mahadevpura-mahadevapura-bangalore-319489
Kitchens of China,"Chinese, Desserts, Combo, Asian",NA,450,Mahadevpura,NA,https://www.swiggy.com/restaurants/kitchens-of-china-mahadevpura-mahadevpura-bangalore-bangalore-224448
HOTEL SRI CHOWDESHWARI,Indian,NA,350,Mahadevpura,NA,https://www.swiggy.com/restaurants/hotel-sri-chowdeshwari-mahadevpura-bangalore-470578
Bismillah Biryani Centre,"Biryani, Indian",NA,250,Mahadevpura,NA,https://www.swiggy.com/restaurants/bismillah-biryani-centre-mahadevpura-bangalore-549212
Hungry Panda - Deliciously Chinese,"Chinese, Pan-Asian, Thai, Asian",NA,600,Mahadevpura,NA,https://www.swiggy.com/restaurants/hungry-panda-deliciously-chinese-mahadevpura-bangalore-481324
Si Pizza,"Italian, Pizzas",NA,300,Mahadevpura,NA,https://www.swiggy.com/restaurants/si-pizza-mahadevpura-bangalore-483624
The Lassi Corner,"Beverages, Ice Cream, Desserts",NA,150,Mahadevpura,NA,https://www.swiggy.com/restaurants/the-lassi-corner-mahadevpura-bangalore-555960
RATAN BHOJNALAY,"Snacks, North Indian, Indian",NA,200,Mahadevpura,NA,https://www.swiggy.com/restaurants/ratan-bhojnalay-mahadevpura-bangalore-470545
Tava say,"Indian, Combo",NA,150,Mahadevpura,NA,https://www.swiggy.com/restaurants/tava-say-mahadevpura-bangalore-446435
Cupcake Noggins - Vintage Patisserie,"Desserts, Snacks, Bakery, Beverages",3.5,200,Mahadevpura,NA,https://www.swiggy.com/restaurants/cupcake-noggins-vintage-patisserie-mahadevpura-bangalore-472843
AL-BEK,"Tandoor, Mughlai, Arabian, North Indian, Chinese, Biryani, Snacks",3.7,400,Mahadevpura,NA,https://www.swiggy.com/restaurants/al-bek-mahadevpura-mahadevapura-bangalore-250763
Sattvam,"South Indian, North Indian",NA,300,Mahadevpura,NA,https://www.swiggy.com/restaurants/sattvam-whitefield-mahadevapura-bangalore-191624
Lola,"Salads, Italian, Pizzas",NA,500,Mahadevpura,NA,https://www.swiggy.com/restaurants/lola-mahadevpura-mahadevapura-bangalore-345855
Big Biriyani Company,"Biryani, Mughlai",NA,350,Mahadevpura,NA,https://www.swiggy.com/restaurants/big-biriyani-company-1st-main-road-doddanakundi-industrial-area-hoodi-bangalore-237546
Chulha Chauki Da Dhaba,"North Indian, Chinese, Punjabi, Tandoor",NA,600,Mahadevpura,NA,https://www.swiggy.com/restaurants/chulha-chauki-da-dhaba-cv-raman-nagar-mahadevapura-bangalore-280050
MM BIRYANI,Biryani,NA,200,Mahadevpura,NA,https://www.swiggy.com/restaurants/mm-biryani-mahadevpura-bangalore-494758
The Wok Co,Chinese,NA,400,Mahadevpura,NA,https://www.swiggy.com/restaurants/the-wok-co-doddanekkundi-mahadevpura-bangalore-180502
Pizza Hut,Pizzas,3.2,300,Mahadevpura,NA,https://www.swiggy.com/restaurants/pizza-hut-phoenix-market-city-krishnarajapura-bangalore-26005
The Brooklyn Creamery - Healthy Ice Cream,"Desserts, Ice Cream, Healthy Food",NA,200,Mahadevpura,NA,https://www.swiggy.com/restaurants/the-brooklyn-creamery-healthy-ice-cream-kundalahalli-gate-munnekollal-bangalore-258385
MADEENA FAST FOOD,"North Indian, Chinese, Biryani, Snacks",NA,250,Mahadevpura,NA,https://www.swiggy.com/restaurants/madeena-fast-food-mahadevpura-bangalore-539002
Dock Frost'd -Ice Cream & Milkshakes,"Desserts, Ice Cream, Beverages",NA,250,Mahadevpura,NA,https://www.swiggy.com/restaurants/dock-frostd-ice-cream-and-milkshakes-mahadevpura-mahadevapura-bangalore-304093
UDUPI GRAND,"Snacks, Indian",3.7,497,Mahadevpura,NA,https://www.swiggy.com/restaurants/udupi-grand-mahadevpura-bangalore-449933
Punjabites,"North Indian, Mughlai, Punjabi, Tandoor, Biryani, Desserts, Beverages",NA,380,Mahadevpura,NA,https://www.swiggy.com/restaurants/punjabites-mahadevpura-bangalore-403539
O2 Juice Bar,"Juices, Beverages, Healthy Food, Desserts",NA,150,Mahadevpura,NA,https://www.swiggy.com/restaurants/o2-juice-bar-whitefield-mahadevapura-bangalore-155551
Drip the Cafe Bar,"Snacks, Continental, Chinese, Beverages, South Indian",NA,200,Mahadevpura,NA,https://www.swiggy.com/restaurants/drip-the-cafe-bar-cv-raman-nagar-bangalore-436899
Blue Tokai Coffee Roasters,"Healthy Food, American, Lebanese, Mediterranean, European, Juices, Middle Easter...",NA,800,Mahadevpura,NA,https://www.swiggy.com/restaurants/blue-tokai-coffee-roasters-mahadevapura-krishnarajapura-bangalore-92281
Hotel Empire,"North Indian, Kebabs, Biryani",NA,250,Mahadevpura,NA,https://www.swiggy.com/restaurants/hotel-empire-mahadevpura-mahadevapura-bangalore-246128
PARATHA FUSION,"Indian, Desserts, Beverages",NA,250,Mahadevpura,NA,https://www.swiggy.com/restaurants/paratha-fusion-mahadevpura-bangalore-542627
KOLKATTA FAMOUS KATI ROLLS,Snacks,NA,200,Mahadevpura,NA,https://www.swiggy.com/restaurants/kolkatta-famous-kati-rolls-mahadevpura-bangalore-528446
House of Mughals,"Mughlai, Biryani, Kebabs, North Indian, Tandoor, Desserts",NA,300,Mahadevpura,NA,https://www.swiggy.com/restaurants/house-of-mughals-mahadevpura-bangalore-505009
Ching's House,"Chinese, Pan-Asian, Thai, Mongolian, Oriental, Asian",NA,280,Mahadevpura,NA,https://www.swiggy.com/restaurants/chings-house-mahadevpura-bangalore-505006
Wandercrust,"Pizzas, Italian",NA,350,Mahadevpura,NA,https://www.swiggy.com/restaurants/wandercrust-1st-main-road-doddanakundi-industrial-area-hoodi-bangalore-179517
SRI ADIGA KITCHEN,"South Indian, Combo",NA,100,Mahadevpura,NA,https://www.swiggy.com/restaurants/sri-adiga-kitchen-mahadevpura-mahadevapura-bangalore-376550
Kothu Xpress,Indian,NA,400,Mahadevpura,NA,https://www.swiggy.com/restaurants/kothu-xpress-mahadevpura-bangalore-503064
FROST AND ROLL,"Juices, Beverages, American",NA,200,Mahadevpura,NA,https://www.swiggy.com/restaurants/frost-and-roll-mahadevpura-bangalore-505480
dp ambur hot dum biryani,"Biryani, Kebabs",NA,200,Mahadevpura,NA,https://www.swiggy.com/restaurants/dp-ambur-hot-dum-biryani-mahadevpura-bangalore-413540
SCHEZWAN HUB,"Chinese, Pan-Asian, Oriental, Beverages, Desserts",3.5,300,Mahadevpura,NA,https://www.swiggy.com/restaurants/schezwan-hub-mahadevpura-krishnarajapura-bangalore-329249
Peppy Parathas & Rolls By Chai Point,"Bakery, Combo, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punj...",NA,150,Mahadevpura,NA,https://www.swiggy.com/restaurants/peppy-parathas-and-rolls-by-chai-point-brigade-metropolis-mahadevapura-bangalore-481775
Burger It Up,"American, Fast Food, Continental, Beverages, Desserts",NA,150,Mahadevpura,NA,https://www.swiggy.com/restaurants/burger-it-up-mahadevpura-marathahalli-bangalore-333604
Howdy,American,NA,700,Mahadevpura,NA,https://www.swiggy.com/restaurants/howdy-mahadevpura-bangalore-424557
IMPERIO RESTAURANT,"Biryani, Mughlai, North Indian, Tandoor, Kerala, Chinese, Seafood, Beverages, De...",3.5,300,Mahadevpura,NA,https://www.swiggy.com/restaurants/imperio-restaurant-mahadevpura-mahadevapura-bangalore-329235
Faasos - Wraps & Rolls,"Snacks, Beverages, Desserts, Indian",3.9,200,Mahadevpura,NA,https://www.swiggy.com/restaurants/faasos-wraps-and-rolls-brigade-metropolis-mahadevapura-bangalore-17759
Biryani Mount,"Biryani, North Indian, Combo, Beverages, Desserts",NA,250,Mahadevpura,NA,https://www.swiggy.com/restaurants/biryani-mount-mahadevpura-mahadevapura-bangalore-329115
Karachi Bakery,"Bakery, Indian, Sweets",NA,250,Mahadevpura,NA,https://www.swiggy.com/restaurants/karachi-bakery-mahadevpura-krishnarajapura-bangalore-322842
Brik Oven,"Italian, Pizzas, Desserts, Beverages",NA,1000,Majestic,NA,https://www.swiggy.com/restaurants/brik-oven-palace-road-majestic-bangalore-245536
NEW GOLDEN CHICKEN KABAB &BIRYANI CENTER,"North Indian, Chinese, Biryani",NA,200,Majestic,NA,https://www.swiggy.com/restaurants/new-golden-chicken-kabab-and-biryani-center-vijayanagar-bangalore-537256
One stop Junction,"Fast Food, Italian, Chinese, Beverages",NA,250,Majestic,NA,https://www.swiggy.com/restaurants/one-stop-junction-binnipete-bangalore-535113
Kanti Sweets,Sweets,NA,150,Majestic,NA,https://www.swiggy.com/restaurants/kanti-sweets-majestic-gandhi-nagar-bangalore-48227
SHYAM MISHRA JUICE CENTRE LLP,"Juices, Beverages",3.9,160,Majestic,NA,https://www.swiggy.com/restaurants/shyam-mishra-juice-centre-llp-majestic-bangalore-449876
BASAVESHWAR KHANAVALI,South Indian,NA,500,Majestic,NA,https://www.swiggy.com/restaurants/basaveshwar-khanavali-majestic-bangalore-500532
LunchBox - Meals and Thalis,"North Indian, Punjabi, Biryani, Healthy Food, Jain, Thalis, Indian, Mughlai, Des...",3.5,200,Majestic,NA,https://www.swiggy.com/restaurants/lunchbox-meals-and-thalis-sheshadripuram-seshadripuram-bangalore-232573
Starbucks Coffee,"Beverages, Ice Cream",NA,400,Majestic,NA,https://www.swiggy.com/restaurants/starbucks-coffee-binnipete-gopalapura-bangalore-413324
Yaa mohideen biryani center,"Biryani, Chinese, Indian",NA,300,Majestic,NA,https://www.swiggy.com/restaurants/yaa-mohideen-biryani-center-majestic-bangalore-545720
SRI MARUTHI GOWDAS MILITARY HOTEL,"South Indian, Indian, Biryani",NA,150,Majestic,NA,https://www.swiggy.com/restaurants/sri-maruthi-gowdas-military-hotel-majestic-bangalore-383932
The Noodle Theory,"Asian, Fast Food, Chinese, Japanese",3.5,400,Majestic,NA,https://www.swiggy.com/restaurants/the-noodle-theory-kumarakrupa-road-kumara-park-east-bangalore-435355
SLV Delite,"Chinese, North Indian, South Indian",NA,350,Majestic,NA,https://www.swiggy.com/restaurants/slv-delite-main-road-gandhinagar-gandhi-nagar-bangalore-39064
Maggi Mane,"Beverages, Fast Food, Italian",NA,200,Majestic,NA,https://www.swiggy.com/restaurants/maggi-mane-majestic-srirampura-bangalore-215453
SGS NONVEG GUNDU PALAV (BALEPET),"South Indian, Biryani",NA,500,Majestic,NA,https://www.swiggy.com/restaurants/sgs-nonveg-gundu-palav-balepet-majestic-bangalore-433950
Amulya Veg Restaurant,"Chinese, Continental, Jain, North Indian, South Indian",NA,350,Majestic,NA,https://www.swiggy.com/restaurants/amulya-veg-restaurant-gandhinagar-gandhi-nagar-bangalore-39066
Iyengars Bakery,"Beverages, Desserts",NA,100,Majestic,NA,https://www.swiggy.com/restaurants/iyengars-bakery-majestic-bangalore-42874
Sweet Truth - Cake and Desserts,"Ice Cream, Bakery, Desserts, Beverages",NA,450,Majestic,NA,https://www.swiggy.com/restaurants/sweet-truth-cake-and-desserts-sheshadripuram-seshadripuram-bangalore-232570
Samrat in Chalukya,"North Indian, South Indian",NA,600,Majestic,NA,https://www.swiggy.com/restaurants/samrat-in-chalukya-race-course-road-sampangi-rama-nagar-bangalore-15034
The Good Bowl,"North Indian, Punjabi, Biryani, Chinese, Beverages, Desserts, Jain, Indian, Hyde...",NA,400,Majestic,NA,https://www.swiggy.com/restaurants/the-good-bowl-sheshadripuram-seshadripuram-bangalore-232571
Amrita Foods,South Indian,NA,250,Majestic,NA,https://www.swiggy.com/restaurants/amrita-foods-majestic-bangalore-440768
The Biryani Life,"Biryani, Hyderabadi, Lucknowi, North Indian, Mughlai, Desserts",NA,250,Majestic,NA,https://www.swiggy.com/restaurants/the-biryani-life-sheshadripuram-seshadripuram-bangalore-232572
Lassi Shop,Beverages,NA,150,Majestic,NA,https://www.swiggy.com/restaurants/lassi-shop-majestic-bangalore-423134
Hotel Navayuga,Andhra,NA,400,Majestic,NA,https://www.swiggy.com/restaurants/hotel-navayuga-sc-road-majestic-bangalore-39063
Kabab Palace,"Chinese, South Indian, North Indian, Andhra, Seafood, Punjabi, Hyderabadi",NA,400,Majestic,NA,https://www.swiggy.com/restaurants/kabab-palace-6th-block-rajajinagar-bangalore-111229
Star biryani family restaurant,"Biryani, Indian, Chinese",NA,400,Majestic,NA,https://www.swiggy.com/restaurants/star-biryani-family-restaurant-rajajinagar-bangalore-418468
Snack House,"Fast Food, Snacks",NA,180,Majestic,NA,https://www.swiggy.com/restaurants/snack-house-malleshwaram-seshadripuram-bangalore-505770
Hari Super Sandwich,"Fast Food, Snacks",3.7,300,Majestic,NA,https://www.swiggy.com/restaurants/hari-super-sandwich-seshadripuram-bangalore-503592
Faasos - Wraps & Rolls,"Snacks, Beverages, Desserts, Indian",NA,200,Majestic,NA,https://www.swiggy.com/restaurants/faasos-wraps-and-rolls-sheshadripuram-seshadripuram-bangalore-232566
Sri Maruthi Hindu Military Hotel,"North Indian, South Indian, Biryani",NA,200,Majestic,NA,https://www.swiggy.com/restaurants/sri-maruthi-hindu-military-hotel-majestic-bangalore-565068
Behrouz Biryani,"Biryani, Mughlai, Lucknowi, Hyderabadi, Kebabs, North Indian, Persian, Desserts",NA,500,Majestic,NA,https://www.swiggy.com/restaurants/behrouz-biryani-sheshadripuram-seshadripuram-bangalore-232567
Haagen Dazs,"Desserts, Beverages",NA,800,Majestic,NA,https://www.swiggy.com/restaurants/haagen-dazs-prestige-trade-tower-race-course-road-bangalore-472776
Oven Story Pizza,Pizzas,3.8,400,Majestic,NA,https://www.swiggy.com/restaurants/oven-story-pizza-sheshadripuram-seshadripuram-bangalore-232568
Firangi Bake,"Italian, Mexican, Pastas, Ice Cream",NA,400,Majestic,NA,https://www.swiggy.com/restaurants/firangi-bake-sheshadripuram-seshadripuram-bangalore-232569
Chetty's Corner,Fast Food,3.8,200,Majestic,NA,https://www.swiggy.com/restaurants/chettys-corner-kilari-road-chickpet-bangalore-232602
Atithi Satkaar,Indian,NA,350,Majestic,NA,https://www.swiggy.com/restaurants/atithi-satkaar-majestic-nagarathpete-bangalore-349722
Mr.Momo,"Chinese, Beverages",NA,300,Majestic,NA,https://www.swiggy.com/restaurants/mr-momo-majestic-bangalore-564413
Blue Bell Sweets,Beverages,NA,200,Majestic,NA,https://www.swiggy.com/restaurants/blue-bell-sweets-shanthinagar-b-b-m-p-east-sampangi-rama-nagar-bangalore-151390
Hotel Narthaki,Chinese,NA,450,Majestic,NA,https://www.swiggy.com/restaurants/hotel-narthaki-majestic-bangalore-464968
Sri Ganesh Juice center,"Beverages, Juices, Ice Cream",NA,110,Majestic,NA,https://www.swiggy.com/restaurants/sri-ganesh-juice-center-majestic-bangalore-445051
SHREE SAGAR VEG FAST FOOD,"South Indian, Beverages",NA,250,Majestic,NA,https://www.swiggy.com/restaurants/shree-sagar-veg-fast-food-majestic-bangalore-497496
South Ruchi's,"Chinese, North Indian, South Indian",3.8,150,Majestic,NA,https://www.swiggy.com/restaurants/south-ruchis-balepet-main-road-chickpet-bangalore-39059
Sea Rock,"Indian, Chinese, Seafood, Mangalorean",NA,700,Majestic,NA,https://www.swiggy.com/restaurants/sea-rock-shivananda-complex-seshadripuram-bangalore-18470
Sakath Momos,Chinese,NA,200,Majestic,NA,https://www.swiggy.com/restaurants/sakath-momos-majestic-bangalore-449496
Chaat Paavlian,Fast Food,NA,150,Majestic,NA,https://www.swiggy.com/restaurants/chaat-paavlian-majestic-chickpet-bangalore-79395
Hotel Paraag,"North Indian, Chinese, Mughlai, Snacks, Desserts",NA,700,Majestic,NA,https://www.swiggy.com/restaurants/hotel-paraag-majestic-bangalore-498181
Hotel Raghavendra Prasanna,"Beverages, South Indian",NA,200,Majestic,NA,https://www.swiggy.com/restaurants/hotel-raghavendra-prasanna-majestic-chickpet-bangalore-315796
Domino's Pizza,Pizzas,NA,400,Majestic,NA,https://www.swiggy.com/restaurants/dominos-pizza-majestic-seshadripuram-bangalore-335710
MTR,South Indian,NA,300,Majestic,NA,https://www.swiggy.com/restaurants/mtr-majestic-gandhi-nagar-bangalore-49095
BAA GURU SHAWARMA TINNU,Arabian,NA,150,Majestic,NA,https://www.swiggy.com/restaurants/baa-guru-shawarma-tinnu-rajajinagar-bangalore-525651
FIVE STAR CHICKEN,"Fast Food, Snacks, Thai",NA,250,Majestic,NA,https://www.swiggy.com/restaurants/five-star-chicken-malleshwaram-bangalore-530558
Hotel Annapoorna,"Biryani, Andhra",NA,450,Majestic,NA,https://www.swiggy.com/restaurants/hotel-annapoorna-majestic-bangalore-423814
The Empire Juice Shop,"Ice Cream, Juices",NA,200,Majestic,NA,https://www.swiggy.com/restaurants/the-empire-juice-shop-majestic-gandhi-nagar-bangalore-280474
IDC Kitchen,"South Indian, North Indian",NA,150,Majestic,NA,https://www.swiggy.com/restaurants/idc-kitchen-gandinagar-gandhi-nagar-bangalore-177016
Nandhini Deluxe,"Andhra, Biryani, Chinese, North Indian, South Indian",NA,550,Majestic,NA,https://www.swiggy.com/restaurants/nandhini-deluxe-w-h-hanumanthapa-road-gandhi-nagar-bangalore-41095
Sri Lakshmi Kuteera Pure Veg,Indian,NA,200,Majestic,NA,https://www.swiggy.com/restaurants/sri-lakshmi-kuteera-pure-veg-majestic-sampangi-rama-nagar-bangalore-243062
Lulu Hypermarket,"Arabian, Continental, North Indian, Chinese",3.7,350,Majestic,NA,https://www.swiggy.com/restaurants/lulu-hypermarket-majestic-rajajinagar-bangalore-510627
Sln tiffin room muddanna hotel,South Indian,NA,40,Majestic,NA,https://www.swiggy.com/restaurants/sln-tiffin-room-muddanna-hotel-majestic-bangalore-483910
BILAL BIRYANI AND KABAB  CENTRE,"Biryani, Kebabs, Indian",NA,200,Majestic,NA,https://www.swiggy.com/restaurants/bilal-biryani-and-kabab-centre-majestic-bangalore-554083
Pai Vihar Grand,"Chinese, North Indian, South Indian",NA,250,Majestic,NA,https://www.swiggy.com/restaurants/pai-vihar-grand-city-market-nagarathpete-bangalore-39564
KFC,"American, Snacks, Biryani",3.6,400,Majestic,NA,https://www.swiggy.com/restaurants/kfc-majestic-bangalore-416859
MEJESTIC CAFE,"South Indian, Indian, Chinese, Beverages",NA,250,Majestic,NA,https://www.swiggy.com/restaurants/mejestic-cafe-majestic-bangalore-455120
Peppy Parathas & Rolls By Chai Point,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi",NA,150,Majestic,NA,https://www.swiggy.com/restaurants/peppy-parathas-and-rolls-by-chai-point-lulu-mall-bangalore-481857
Sagar Restaurant,"North Indian, Chinese, Chaat, Tandoor, Jain",NA,399,Majestic,NA,https://www.swiggy.com/restaurants/sagar-restaurant-nehru-circle-bangalore-61597
Sanman Restaurant,"South Indian, Indian, Chinese",NA,300,Majestic,NA,https://www.swiggy.com/restaurants/sanman-restaurant-seshadripuram-bangalore-486189
Ram dev sandwich,Fast Food,NA,200,Majestic,NA,https://www.swiggy.com/restaurants/ram-dev-sandwich-majestic-bangalore-557995
KFDC MATHSYA DARSHINI,"Indian, Seafood, Biryani",NA,400,Majestic,NA,https://www.swiggy.com/restaurants/kfdc-mathsya-darshini-majestic-sampangi-rama-nagar-bangalore-260624
Udupi Sri Krishna Bhavan,South Indian,NA,200,Majestic,NA,https://www.swiggy.com/restaurants/udupi-sri-krishna-bhavan-majestic-balepet-bangalore-424361
GHS NON VEG,North Indian,NA,400,Majestic,NA,https://www.swiggy.com/restaurants/ghs-non-veg-majestic-nagarathpete-bangalore-298254
Flying Kombucha,"Juices, Beverages",NA,200,Majestic,NA,https://www.swiggy.com/restaurants/flying-kombucha-brigade-road-bangalore-443387
