Restaurant Name,Category,Rating,Cost for Two (in Rupees),Area,Offer,URL
Noodle King Asian Bowls,"Thai, Chinese, Pan-Asian",3.7,500,Arekere,NA,https://www.swiggy.com/restaurants/noodle-king-asian-bowls-arekere-bangalore-425967
Maa Ki Khichdi,"Home Food, Desserts, Beverages",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/maa-ki-khichdi-jp-nagar-bangalore-514539
Tuckshop Cafe,"American, Fast Food, Snacks, Combo",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/tuckshop-cafe-arekere-hongasandra-bangalore-238448
Estaa Sweets,"Sweets, Snacks",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/estaa-sweets-kudlu-gate-begur-bangalore-366424
Delhi Swad,"North Indian, Chinese, Biryani, Snacks, Salads",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/delhi-swad-arekere-j-p-nagar-bangalore-364367
Hungry Tubs,"Chinese, Snacks",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/hungry-tubs-arekere-bangalore-492745
FreshMenu,"Chinese, Continental, Italian, Mediterranean, Thai, Lebanese, American, Asian, B...",3.9,250,Arekere,NA,https://www.swiggy.com/restaurants/freshmenu-5th-phase-arekere-bangalore-6934
The North Delicacy,"North Indian, Sweets, Combo",NA,400,Arekere,NA,https://www.swiggy.com/restaurants/the-north-delicacy-jp-nagar-bangalore-491533
Pizza Hut,Pizzas,3.8,350,Arekere,NA,https://www.swiggy.com/restaurants/pizza-hut-bannergatta-2-109-bilekahalli-bangalore-10885
Samosa King & biryani challengers,"Biryani, Chinese, Combo, Indian",NA,399,Arekere,NA,https://www.swiggy.com/restaurants/samosa-king-and-biryani-challengers-arekere-bangalore-512033
Habibi Falafel,"Lebanese, Arabian",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/habibi-falafel-kudlu-gate-bangalore-478672
Davanagere benne dosa corner,South Indian,NA,250,Arekere,NA,https://www.swiggy.com/restaurants/davanagere-benne-dosa-corner-arekere-bangalore-479521
BABU BIRIYANI CENTER,"Biryani, Chinese, Chaat",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/babu-biriyani-center-arekere-bangalore-517966
Chit Pat Chat,Fast Food,NA,250,Arekere,NA,https://www.swiggy.com/restaurants/chit-pat-chat-arekere-bangalore-135521
Donne Biriyani House,Biryani,NA,250,Arekere,NA,https://www.swiggy.com/restaurants/donne-biriyani-house-rbi-layout-j-p-nagar-bangalore-22717
Centric,Beverages,NA,400,Arekere,NA,https://www.swiggy.com/restaurants/centric-jp-nagar-bangalore-491529
BIG MISHRA PEDHA,"Desserts, Snacks",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/big-mishra-pedha-arekere-hulimavu-bangalore-294102
Panda Momos,"Asian, Tibetan, Desserts, Beverages",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/panda-momos-jp-nagar-bangalore-514450
Big Pitcher,"Chinese, Desserts, North Indian, Biryani",NA,400,Arekere,NA,https://www.swiggy.com/restaurants/big-pitcher-arekere-j-p-nagar-bangalore-355667
Eato India,"Indian, Chinese",NA,99,Arekere,NA,https://www.swiggy.com/restaurants/eato-india-btm-layout-bangalore-393944
Juice Ghar,"Juices, Fast Food, Snacks, Beverages",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/juice-ghar-arekere-bangalore-550781
Lissys Taste Buds,"South Indian, Combo, Kerala",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/lissys-taste-buds-arekere-jp-nagar-8th-phase-bangalore-424925
brahmalingeshwara coffee shop,Beverages,NA,150,Arekere,NA,https://www.swiggy.com/restaurants/brahmalingeshwara-coffee-shop-arekere-bangalore-420200
SWAD LAJABAB,North Indian,NA,300,Arekere,NA,https://www.swiggy.com/restaurants/swad-lajabab-arekere-bangalore-465485
Dairy Day Ice Creams,"Ice Cream, Desserts",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/dairy-day-ice-creams-kalena-agrahara-bangalore-444658
Maharaja Military Canteen,South Indian,3.8,350,Arekere,NA,https://www.swiggy.com/restaurants/maharaja-military-canteen-arekere-j-p-nagar-bangalore-328572
Dande's Hyderabad Biryani,"Andhra, Biryani, Hyderabadi",NA,400,Arekere,NA,https://www.swiggy.com/restaurants/dandes-hyderabad-biryani-jp-nagar-j-p-nagar-bangalore-252783
Vishal Foods,North Indian,3.6,280,Arekere,NA,https://www.swiggy.com/restaurants/vishal-foods-hsr-akshayanagar-bangalore-111044
Biryani Mount,"Biryani, North Indian, Combo, Beverages, Desserts",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/biryani-mount-arekere-j-p-nagar-bangalore-329547
New Tasty Hotel,"Biryani, Indian",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/new-tasty-hotel-arekere-bangalore-516627
TASTY THINDI,"Biryani, Combo, Indian",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/tasty-thindi-hulimavu-near-shell-petrol-bank-arekere-bangalore-404916
